period_month,ug_name,uol1_name,uol2_name,servicel1_id,servicel1_name,Nº fichas RFO,Nº SN2 con ficha RFO con status OK,Nº SN2 con dependencias Consumer,Nº SN2 del tipo Aplicación no Hijo,Número de features “deployed” válidas,Número de features “deployed”,Valor de cumplimiento de objetivos en Op Model,Servicios N2 con medición en el modelo objetivo del Op Model,Vulnerab. de alto riesgo por cada mil líneas de códgio,Vulnerab. de alto riesgo por cada mil líneas de códgio mes anterior,Variación de la evolución de vulnerabilidades,Nº  de vulnerabilidades “high”,Nº de Lineas de código ,Nº de vulnerabilidades “high” en el mes anterior,Líneas de código en el mes anterior,Fichas RFO con status OK,SN2 con Dependencias asignadas,Calidad de Features,Cumpliminto objetivo adopción del Op. Model, Evolución de vulnerabilidades,Peso - Fichas RFO con status OK,Peso - SN2 con Dependencias asignadas, Peso - Calidad de Features,Peso - Cumpliminto objetivo adopción del Op. Model,Peso -  Evolución de vulnerabilidades,Distribución pesos si no aplica indicador,% Adopción total,Está certificado? (>= 70%),Nivel de Certificación
mar 25,COLOMBIA,SYSTEMS ENGINEERING,DevOps,7207,Z COLOMBIA,0,0,0,1,0,0,"0,0",0,"-99,0000","-99,0000","0,0000",0,0,0,0,-,"0,00%",-,-,-,-,"0,0000",-,-,-,"0,1300",0%,0,Not certified
mar 25,COLOMBIA,SYSTEMS ENGINEERING,ENTERPRISE,175,PAYMENTS,11,9,11,11,58,58,"7,0",8,"0,0000","0,0000","0,0000",0,786.055,0,681.545,"81,82%","100,00%","100,00%","87,50%","100,00%","0,1064","0,1300","0,2000","0,2363","0,2700","1,0000",94%,1,Level 3
mar 25,COLOMBIA,SYSTEMS ENGINEERING,ENTERPRISE,395,ENTERPRISE WEB CHANNEL,7,5,7,7,36,41,"4,0",6,"0,0609","0,0614","-0,8590",324,5.321.657,323,5.259.661,"71,43%","100,00%","87,80%","66,67%","75,00%","0,0929","0,1300","0,1756","0,1800","0,2025","1,0000",78%,1,Level 1
mar 25,COLOMBIA,SYSTEMS ENGINEERING,ENTERPRISE,396,TRANSACCIONALIDAD,6,6,6,6,17,18,"3,0",4,"0,0067","0,0000","0,0000",9,1.344.433,0,1.085.843,"100,00%","100,00%","94,44%","75,00%","0,00%","0,1300","0,1300","0,1889","0,2025","0,0000","1,0000",65%,0,Not certified
mar 25,COLOMBIA,SYSTEMS ENGINEERING,ENTERPRISE,5209,ENTERPRISE MOBILE (GEMA),2,1,2,2,53,59,"0,0",1,"0,0000","0,0000","0,0000",0,80.048,0,79.109,"50,00%","100,00%","89,83%","0,00%","100,00%","0,0650","0,1300","0,1797","0,0000","0,2700","1,0000",64%,0,Not certified
mar 25,COLOMBIA,SYSTEMS ENGINEERING,ENTERPRISE,6667,SOLUCIONES FINANCIERAS,3,3,3,3,14,14,"1,0",2,"0,0000","0,0000","0,0000",0,2.727,0,2.611,"100,00%","100,00%","100,00%","50,00%","100,00%","0,1300","0,1300","0,2000","0,1350","0,2700","1,0000",87%,1,Level 2
mar 25,COLOMBIA,SYSTEMS ENGINEERING,RETAIL,85,OPEN MARKET,7,6,6,8,48,48,"3,0",4,"0,0259","0,0273","-5,4143",12,464.141,12,439.011,"85,71%","75,00%","100,00%","75,00%","75,00%","0,1114","0,0975","0,2000","0,2025","0,2025","1,0000",81%,1,Level 2
mar 25,COLOMBIA,SYSTEMS ENGINEERING,RETAIL,340,NET,3,2,3,3,19,24,"1,0",3,"0,0000","0,0000","0,0000",0,3.400.549,0,3.395.736,"66,67%","100,00%","79,17%","33,33%","100,00%","0,0867","0,1300","0,1583","0,0900","0,2700","1,0000",74%,1,Level 1
mar 25,COLOMBIA,SYSTEMS ENGINEERING,RETAIL,341,OFICINA,10,10,10,10,21,21,"7,0",8,"0,0000","0,0000","0,0000",0,948.316,0,1.008.754,"100,00%","100,00%","100,00%","87,50%","100,00%","0,1300","0,1300","0,2000","0,2363","0,2700","1,0000",97%,1,Level 3
mar 25,COLOMBIA,SYSTEMS ENGINEERING,RETAIL,343,MÓVIL RETAIL,1,1,1,1,71,72,"0,0",1,"0,0000","0,0000","0,0000",0,90.769,0,90.510,"100,00%","100,00%","98,61%","0,00%","100,00%","0,1300","0,1300","0,1972","0,0000","0,2700","1,0000",73%,1,Level 1
